incident_id,dataset,service,severity,alert,logs,metrics,root_cause,resolution,mttr_minutes_baseline,source
SYN-INC-0012,synthetic,inventory-service,P1,Pod restart loop,inventory-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",78,synthetic
SYN-INC-0013,synthetic,cart-service,P3,HTTP 500 error rate increased,cart-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,76,synthetic
SYN-INC-0014,synthetic,payment-service,P2,High latency detected,payment-service: timeout while calling downstream service,error_rate=12%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",63,synthetic
SYN-INC-0015,synthetic,cart-service,P1,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,db_connections=98%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,57,synthetic
SYN-INC-0016,synthetic,inventory-service,P2,High latency detected,inventory-service: timeout while calling downstream service,error_rate=12%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",66,synthetic
SYN-INC-0017,synthetic,inventory-service,P2,HTTP 500 error rate increased,inventory-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,74,synthetic
SYN-INC-0018,synthetic,auth-service,P1,Database connection failure,auth-service: connection pool exhausted; JDBC timeout,db_connections=98%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",56,synthetic
SYN-INC-0019,synthetic,auth-service,P1,High latency detected,auth-service: timeout while calling downstream service,error_rate=12%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",55,synthetic
SYN-INC-0020,synthetic,auth-service,P3,Pod restart loop,auth-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",58,synthetic
SYN-INC-0021,synthetic,cart-service,P2,HTTP 500 error rate increased,cart-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,81,synthetic
SYN-INC-0022,synthetic,auth-service,P1,Database connection failure,auth-service: connection pool exhausted; JDBC timeout,consumer_lag=18000,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",66,synthetic
SYN-INC-0023,synthetic,payment-service,P1,Database connection failure,payment-service: connection pool exhausted; JDBC timeout,error_rate=12%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",54,synthetic
SYN-INC-0024,synthetic,payment-service,P3,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,db_connections=98%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",68,synthetic
SYN-INC-0025,synthetic,order-service,P3,HTTP 500 error rate increased,order-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,71,synthetic
SYN-INC-0026,synthetic,order-service,P3,Database connection failure,order-service: connection pool exhausted; JDBC timeout,db_connections=98%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",89,synthetic
SYN-INC-0027,synthetic,auth-service,P1,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,62,synthetic
SYN-INC-0028,synthetic,cart-service,P2,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,consumer_lag=18000,Consumer processing bottleneck,Scale consumers and check downstream API latency.,68,synthetic
SYN-INC-0029,synthetic,auth-service,P1,Pod restart loop,auth-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,"cpu=92%,memory=78%",Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",59,synthetic
SYN-INC-0030,synthetic,payment-service,P2,HTTP 500 error rate increased,payment-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,74,synthetic
SYN-INC-0031,synthetic,payment-service,P1,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,db_connections=98%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",56,synthetic
SYN-INC-0032,synthetic,order-service,P3,HTTP 500 error rate increased,order-service: HTTP 500 due to NullPointerException after deployment,consumer_lag=18000,Application exception after deployment,Rollback deployment and validate config.,50,synthetic
SYN-INC-0033,synthetic,auth-service,P1,Pod restart loop,auth-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,error_rate=12%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",65,synthetic
SYN-INC-0034,synthetic,cart-service,P2,HTTP 500 error rate increased,cart-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,49,synthetic
SYN-INC-0035,synthetic,inventory-service,P2,HTTP 500 error rate increased,inventory-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,75,synthetic
SYN-INC-0036,synthetic,payment-service,P2,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",49,synthetic
SYN-INC-0037,synthetic,cart-service,P1,High latency detected,cart-service: timeout while calling downstream service,"cpu=92%,memory=78%",Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",63,synthetic
SYN-INC-0038,synthetic,order-service,P2,Queue backlog increasing,order-service: Kafka consumer lag increasing; messages pending,db_connections=98%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,75,synthetic
SYN-INC-0039,synthetic,order-service,P1,Database connection failure,order-service: connection pool exhausted; JDBC timeout,db_connections=98%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",72,synthetic
SYN-INC-0040,synthetic,order-service,P1,HTTP 500 error rate increased,order-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,65,synthetic
SYN-INC-0041,synthetic,cart-service,P3,HTTP 500 error rate increased,cart-service: HTTP 500 due to NullPointerException after deployment,db_connections=98%,Application exception after deployment,Rollback deployment and validate config.,89,synthetic
SYN-INC-0042,synthetic,auth-service,P3,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,consumer_lag=18000,Consumer processing bottleneck,Scale consumers and check downstream API latency.,70,synthetic
SYN-INC-0043,synthetic,auth-service,P2,HTTP 500 error rate increased,auth-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,70,synthetic
SYN-INC-0044,synthetic,order-service,P1,Queue backlog increasing,order-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,79,synthetic
SYN-INC-0045,synthetic,order-service,P1,Queue backlog increasing,order-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,66,synthetic
SYN-INC-0046,synthetic,cart-service,P2,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,db_connections=98%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,64,synthetic
SYN-INC-0047,synthetic,cart-service,P1,HTTP 500 error rate increased,cart-service: HTTP 500 due to NullPointerException after deployment,db_connections=98%,Application exception after deployment,Rollback deployment and validate config.,64,synthetic
SYN-INC-0048,synthetic,payment-service,P2,High latency detected,payment-service: timeout while calling downstream service,db_connections=98%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",53,synthetic
SYN-INC-0049,synthetic,cart-service,P2,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,consumer_lag=18000,Consumer processing bottleneck,Scale consumers and check downstream API latency.,77,synthetic
SYN-INC-0050,synthetic,payment-service,P3,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",67,synthetic
SYN-INC-0051,synthetic,order-service,P1,Queue backlog increasing,order-service: Kafka consumer lag increasing; messages pending,error_rate=12%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,64,synthetic
SYN-INC-0052,synthetic,auth-service,P1,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,88,synthetic
SYN-INC-0053,synthetic,cart-service,P1,High latency detected,cart-service: timeout while calling downstream service,db_connections=98%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",69,synthetic
SYN-INC-0054,synthetic,auth-service,P2,Pod restart loop,auth-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,db_connections=98%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",66,synthetic
SYN-INC-0055,synthetic,inventory-service,P3,HTTP 500 error rate increased,inventory-service: HTTP 500 due to NullPointerException after deployment,db_connections=98%,Application exception after deployment,Rollback deployment and validate config.,64,synthetic
SYN-INC-0056,synthetic,payment-service,P1,HTTP 500 error rate increased,payment-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,89,synthetic
SYN-INC-0057,synthetic,order-service,P3,Pod restart loop,order-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",66,synthetic
SYN-INC-0058,synthetic,order-service,P2,Database connection failure,order-service: connection pool exhausted; JDBC timeout,error_rate=12%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",46,synthetic
SYN-INC-0059,synthetic,cart-service,P3,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,76,synthetic
SYN-INC-0060,synthetic,auth-service,P3,Database connection failure,auth-service: connection pool exhausted; JDBC timeout,consumer_lag=18000,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",87,synthetic
SYN-INC-0061,synthetic,payment-service,P1,Queue backlog increasing,payment-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,58,synthetic
SYN-INC-0062,synthetic,cart-service,P3,Pod restart loop,cart-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,"cpu=92%,memory=78%",Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",67,synthetic
SYN-INC-0063,synthetic,auth-service,P3,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,62,synthetic
SYN-INC-0064,synthetic,inventory-service,P1,HTTP 500 error rate increased,inventory-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,69,synthetic
SYN-INC-0065,synthetic,inventory-service,P1,Pod restart loop,inventory-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",54,synthetic
SYN-INC-0066,synthetic,auth-service,P1,High latency detected,auth-service: timeout while calling downstream service,consumer_lag=18000,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",50,synthetic
SYN-INC-0067,synthetic,payment-service,P1,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",67,synthetic
SYN-INC-0068,synthetic,payment-service,P3,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,db_connections=98%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",80,synthetic
SYN-INC-0069,synthetic,cart-service,P1,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,consumer_lag=18000,Consumer processing bottleneck,Scale consumers and check downstream API latency.,76,synthetic
SYN-INC-0070,synthetic,payment-service,P2,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,"cpu=92%,memory=78%",Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",62,synthetic
SYN-INC-0071,synthetic,order-service,P1,High latency detected,order-service: timeout while calling downstream service,consumer_lag=18000,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",49,synthetic
SYN-INC-0072,synthetic,order-service,P2,HTTP 500 error rate increased,order-service: HTTP 500 due to NullPointerException after deployment,db_connections=98%,Application exception after deployment,Rollback deployment and validate config.,54,synthetic
SYN-INC-0073,synthetic,payment-service,P2,Queue backlog increasing,payment-service: Kafka consumer lag increasing; messages pending,error_rate=12%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,57,synthetic
SYN-INC-0074,synthetic,auth-service,P3,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,82,synthetic
SYN-INC-0075,synthetic,cart-service,P2,Pod restart loop,cart-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,error_rate=12%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",63,synthetic
SYN-INC-0076,synthetic,auth-service,P2,Database connection failure,auth-service: connection pool exhausted; JDBC timeout,db_connections=98%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",77,synthetic
SYN-INC-0077,synthetic,inventory-service,P1,Queue backlog increasing,inventory-service: Kafka consumer lag increasing; messages pending,db_connections=98%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,53,synthetic
SYN-INC-0078,synthetic,payment-service,P3,Queue backlog increasing,payment-service: Kafka consumer lag increasing; messages pending,error_rate=12%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,59,synthetic
SYN-INC-0079,synthetic,payment-service,P1,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,error_rate=12%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",55,synthetic
SYN-INC-0080,synthetic,order-service,P1,High latency detected,order-service: timeout while calling downstream service,error_rate=12%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",53,synthetic
SYN-INC-0081,synthetic,auth-service,P1,HTTP 500 error rate increased,auth-service: HTTP 500 due to NullPointerException after deployment,error_rate=12%,Application exception after deployment,Rollback deployment and validate config.,64,synthetic
SYN-INC-0082,synthetic,cart-service,P1,HTTP 500 error rate increased,cart-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,80,synthetic
SYN-INC-0083,synthetic,auth-service,P2,High latency detected,auth-service: timeout while calling downstream service,error_rate=12%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",67,synthetic
SYN-INC-0084,synthetic,inventory-service,P3,Pod restart loop,inventory-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,"cpu=92%,memory=78%",Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",73,synthetic
SYN-INC-0085,synthetic,auth-service,P1,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,db_connections=98%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,56,synthetic
SYN-INC-0086,synthetic,cart-service,P1,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,consumer_lag=18000,Consumer processing bottleneck,Scale consumers and check downstream API latency.,85,synthetic
SYN-INC-0087,synthetic,auth-service,P2,Pod restart loop,auth-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,error_rate=12%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",49,synthetic
SYN-INC-0088,synthetic,order-service,P2,HTTP 500 error rate increased,order-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,49,synthetic
SYN-INC-0089,synthetic,payment-service,P2,Database connection failure,payment-service: connection pool exhausted; JDBC timeout,error_rate=12%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",87,synthetic
SYN-INC-0090,synthetic,order-service,P3,High latency detected,order-service: timeout while calling downstream service,db_connections=98%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",66,synthetic
SYN-INC-0091,synthetic,auth-service,P1,Database connection failure,auth-service: connection pool exhausted; JDBC timeout,error_rate=12%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",45,synthetic
SYN-INC-0092,synthetic,order-service,P1,High latency detected,order-service: timeout while calling downstream service,db_connections=98%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",81,synthetic
SYN-INC-0093,synthetic,auth-service,P3,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,consumer_lag=18000,Consumer processing bottleneck,Scale consumers and check downstream API latency.,60,synthetic
SYN-INC-0094,synthetic,inventory-service,P1,Database connection failure,inventory-service: connection pool exhausted; JDBC timeout,db_connections=98%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",57,synthetic
SYN-INC-0095,synthetic,inventory-service,P3,Queue backlog increasing,inventory-service: Kafka consumer lag increasing; messages pending,db_connections=98%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,73,synthetic
SYN-INC-0096,synthetic,inventory-service,P1,Pod restart loop,inventory-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,"cpu=92%,memory=78%",Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",61,synthetic
SYN-INC-0097,synthetic,inventory-service,P2,High latency detected,inventory-service: timeout while calling downstream service,db_connections=98%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",90,synthetic
SYN-INC-0098,synthetic,order-service,P2,Queue backlog increasing,order-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,54,synthetic
SYN-INC-0099,synthetic,cart-service,P2,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,83,synthetic
SYN-INC-0100,synthetic,auth-service,P3,Pod restart loop,auth-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,error_rate=12%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",84,synthetic
SYN-INC-0101,synthetic,inventory-service,P3,High latency detected,inventory-service: timeout while calling downstream service,error_rate=12%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",58,synthetic
SYN-INC-0102,synthetic,auth-service,P2,Database connection failure,auth-service: connection pool exhausted; JDBC timeout,error_rate=12%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",46,synthetic
SYN-INC-0103,synthetic,cart-service,P2,HTTP 500 error rate increased,cart-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,54,synthetic
SYN-INC-0104,synthetic,payment-service,P3,Queue backlog increasing,payment-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,77,synthetic
SYN-INC-0105,synthetic,order-service,P2,High latency detected,order-service: timeout while calling downstream service,"cpu=92%,memory=78%",Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",87,synthetic
SYN-INC-0106,synthetic,order-service,P2,Database connection failure,order-service: connection pool exhausted; JDBC timeout,consumer_lag=18000,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",76,synthetic
SYN-INC-0107,synthetic,order-service,P2,Queue backlog increasing,order-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,46,synthetic
SYN-INC-0108,synthetic,payment-service,P3,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",67,synthetic
SYN-INC-0109,synthetic,order-service,P3,HTTP 500 error rate increased,order-service: HTTP 500 due to NullPointerException after deployment,"cpu=92%,memory=78%",Application exception after deployment,Rollback deployment and validate config.,53,synthetic
SYN-INC-0110,synthetic,inventory-service,P1,Pod restart loop,inventory-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,error_rate=12%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",65,synthetic
SYN-INC-0111,synthetic,auth-service,P2,Pod restart loop,auth-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",48,synthetic
SYN-INC-0112,synthetic,order-service,P3,High latency detected,order-service: timeout while calling downstream service,"cpu=92%,memory=78%",Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",79,synthetic
SYN-INC-0113,synthetic,cart-service,P3,Queue backlog increasing,cart-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,77,synthetic
SYN-INC-0114,synthetic,inventory-service,P1,Queue backlog increasing,inventory-service: Kafka consumer lag increasing; messages pending,consumer_lag=18000,Consumer processing bottleneck,Scale consumers and check downstream API latency.,65,synthetic
SYN-INC-0115,synthetic,auth-service,P3,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,error_rate=12%,Consumer processing bottleneck,Scale consumers and check downstream API latency.,69,synthetic
SYN-INC-0116,synthetic,payment-service,P2,High latency detected,payment-service: timeout while calling downstream service,db_connections=98%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",86,synthetic
SYN-INC-0117,synthetic,order-service,P2,High latency detected,order-service: timeout while calling downstream service,db_connections=98%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",47,synthetic
SYN-INC-0118,synthetic,auth-service,P2,Queue backlog increasing,auth-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,84,synthetic
SYN-INC-0119,synthetic,cart-service,P2,Database connection failure,cart-service: connection pool exhausted; JDBC timeout,db_connections=98%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",88,synthetic
SYN-INC-0120,synthetic,cart-service,P3,Pod restart loop,cart-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,"cpu=92%,memory=78%",Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",50,synthetic
